Experience,Age,Education_Level,Skills_Score,Certifications,Projects_Completed,Working_Hours,Job_Role,Company_Size,Location,Performance_Rating,Promotions,Salary
1,22,Bachelor,55,1,2,40,Web Developer,Startup,Chennai,3,0,25000
2,23,Bachelor,58,1,3,42,Data Analyst,Startup,Chennai,3,0,28000
3,24,Bachelor,60,2,4,42,Software Engineer,Medium,Bangalore,3,0,32000
4,25,Bachelor,62,2,5,43,Web Developer,Medium,Chennai,4,0,35000
5,26,Master,65,2,5,44,Data Analyst,Medium,Hyderabad,4,1,42000
6,27,Master,67,3,6,45,ML Engineer,MNC,Bangalore,4,1,48000
7,28,Master,70,3,7,45,AI Engineer,MNC,Bangalore,4,1,55000
8,29,Master,72,4,7,46,Software Engineer,MNC,Hyderabad,4,1,60000
9,30,Master,75,4,8,47,AI Engineer,MNC,Pune,5,1,68000
10,31,Master,78,5,9,48,ML Engineer,MNC,Bangalore,5,1,75000
11,32,Master,80,5,10,48,Data Scientist,MNC,Hyderabad,5,2,82000
12,33,Master,82,10,10,49,AI Engineer,MNC,Bangalore,5,2,90000
13,34,Master,84,6,11,50,ML Engineer,MNC,Bangalore,5,2,98000
14,35,PhD,86,7,12,50,Data Scientist,MNC,Bangalore,5,2,105000
15,36,PhD,88,7,13,50,AI Engineer,MNC,Hyderabad,5,2,112000
16,37,PhD,90,8,14,50,Senior Data Scientist,MNC,Bangalore,5,3,120000
17,38,PhD,91,8,15,50,Senior AI Engineer,MNC,Pune,5,3,128000
18,39,PhD,93,9,16,50,AI Architect,MNC,Bangalore,5,3,136000
19,40,PhD,94,9,17,50,Lead ML Engineer,MNC,Hyderabad,5,3,145000
20,41,PhD,96,10,18,50,AI Director,MNC,Bangalore,5,4,155000
3,24,Bachelor,61,2,4,42,Web Developer,Startup,Chennai,4,0,34000
5,26,Master,66,3,5,44,Data Analyst,Medium,Pune,4,1,45000
7,28,Master,71,4,6,45,Software Engineer,MNC,Bangalore,4,1,56000
9,30,Master,76,5,8,47,AI Engineer,MNC,Hyderabad,5,1,70000
11,32,Master,81,5,10,48,Data Scientist,MNC,Bangalore,5,2,85000
13,34,Master,85,6,12,50,ML Engineer,MNC,Pune,5,2,100000
15,36,PhD,89,7,14,50,AI Engineer,MNC,Bangalore,5,3,115000
18,39,PhD,92,8,16,50,Lead Data Scientist,MNC,Hyderabad,5,3,135000
20,41,PhD,97,10,18,50,AI Director,MNC,Bangalore,5,4,160000